date,district,incident_count
2026-01-10,Capital,12
2026-01-10,Hawalli,8
2026-01-10,Farwaniya,6
2026-01-10,Ahmadi,9
2026-01-10,Jahra,5
2026-01-10,Mubarak Al-Kabeer,7
2026-01-11,Capital,15
2026-01-11,Hawalli,10
2026-01-11,Farwaniya,7
2026-01-11,Ahmadi,11
2026-01-11,Jahra,6
2026-01-11,Mubarak Al-Kabeer,9
2026-01-12,Capital,18
2026-01-12,Hawalli,12
2026-01-12,Farwaniya,8
2026-01-12,Ahmadi,13
2026-01-12,Jahra,7
2026-01-12,Mubarak Al-Kabeer,11
2026-01-13,Capital,14
2026-01-13,Hawalli,9
2026-01-13,Farwaniya,6
2026-01-13,Ahmadi,10
2026-01-13,Jahra,5
2026-01-13,Mubarak Al-Kabeer,8
2026-01-14,Capital,16
2026-01-14,Hawalli,11
2026-01-14,Farwaniya,9
2026-01-14,Ahmadi,12
2026-01-14,Jahra,6
2026-01-14,Mubarak Al-Kabeer,10
2026-01-15,Capital,19
2026-01-15,Hawalli,13
2026-01-15,Farwaniya,10
2026-01-15,Ahmadi,14
2026-01-15,Jahra,8
2026-01-15,Mubarak Al-Kabeer,12
2026-01-16,Capital,17
2026-01-16,Hawalli,11
2026-01-16,Farwaniya,8
2026-01-16,Ahmadi,13
2026-01-16,Jahra,7
2026-01-16,Mubarak Al-Kabeer,11
2026-01-17,Capital,20
2026-01-17,Hawalli,14
2026-01-17,Farwaniya,11
2026-01-17,Ahmadi,15
2026-01-17,Jahra,9
2026-01-17,Mubarak Al-Kabeer,13
